date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:02	69/69	---M-Z	200	added ('OK')	text/plain	date:Fri,%2023%20Oct%202020%2005:15:32%20GMT	http://emberhouse.com/robots.txt		(from )
11:28:03	108704/108704	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2005:15:32%20GMT	http://emberhouse.com/	C:/My%20Web%20Sites/Shine/emberhouse.com/index.html	(from )
11:28:04	2227/2227	---M--	200	added ('OK')	image/png	etag:%228b3-54d9d3f336394%22	http://emberhouse.com/wp-content/themes/emberhouse/images/icons/apple-icon-57x57.png	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/images/icons/apple-icon-57x57.png	(from http://emberhouse.com/)
11:28:05	3746/3746	---M--	200	added ('OK')	image/png	etag:%22ea2-54d9d3f336394%22	http://emberhouse.com/wp-content/themes/emberhouse/images/icons/apple-icon-114x114.png	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/images/icons/apple-icon-114x114.png	(from http://emberhouse.com/)
11:28:05	2597/2597	---M--	200	added ('OK')	image/png	etag:%22a25-54d9d3f336394%22	http://emberhouse.com/wp-content/themes/emberhouse/images/icons/apple-icon-72x72.png	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/images/icons/apple-icon-72x72.png	(from http://emberhouse.com/)
11:28:07	7712/7712	---M--	200	added ('OK')	image/png	etag:%221e20-54d9d3f336394%22	http://emberhouse.com/wp-content/themes/emberhouse/images/icons/apple-icon-144x144.png	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/images/icons/apple-icon-144x144.png	(from http://emberhouse.com/)
11:28:07	2291/2291	---M--	200	added ('OK')	image/png	etag:%228f3-54d9d3f336394%22	http://emberhouse.com/wp-content/themes/emberhouse/images/icons/apple-icon-60x60.png	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/images/icons/apple-icon-60x60.png	(from http://emberhouse.com/)
11:28:08	3884/3884	---M--	200	added ('OK')	image/png	etag:%22f2c-54d9d3f336394%22	http://emberhouse.com/wp-content/themes/emberhouse/images/icons/apple-icon-120x120.png	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/images/icons/apple-icon-120x120.png	(from http://emberhouse.com/)
11:28:09	2692/2692	---M--	200	added ('OK')	image/png	etag:%22a84-54d9d3f336394%22	http://emberhouse.com/wp-content/themes/emberhouse/images/icons/apple-icon-76x76.png	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/images/icons/apple-icon-76x76.png	(from http://emberhouse.com/)
11:28:10	8229/8229	---M--	200	added ('OK')	image/png	etag:%222025-54d9d3f336394%22	http://emberhouse.com/wp-content/themes/emberhouse/images/icons/apple-icon-152x152.png	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/images/icons/apple-icon-152x152.png	(from http://emberhouse.com/)
